scraped_at,platform,city,zone,zone_type,address_id,address,product,restaurant,available,product_price_mxn,delivery_fee_mxn,service_fee_mxn,discount_mxn,eta_min_minutes,eta_max_minutes,final_total_mxn,evidence_url,notes
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Roma Norte,alta demanda,MXCDMX-001,"Av. Alvaro Obregon 120, Roma Norte, CDMX",Big Mac,McDonald's,True,88.23,29.2,7.06,0.0,21.0,29.0,124.49,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Roma Norte,alta demanda,MXCDMX-001,"Av. Alvaro Obregon 120, Roma Norte, CDMX",Combo mediano,McDonald's,True,156.7,22.92,12.54,7.83,18.0,26.0,184.33,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Roma Norte,alta demanda,MXCDMX-001,"Av. Alvaro Obregon 120, Roma Norte, CDMX",Nuggets 10 piezas,McDonald's,True,113.45,20.91,9.08,0.0,35.0,50.0,143.44,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Roma Norte,alta demanda,MXCDMX-001,"Av. Alvaro Obregon 120, Roma Norte, CDMX",Coca-Cola 500ml,Retail benchmark,True,33.58,47.04,2.69,0.0,36.0,46.0,83.31,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Roma Norte,alta demanda,MXCDMX-001,"Av. Alvaro Obregon 120, Roma Norte, CDMX",Agua 1L,Retail benchmark,True,28.67,25.21,2.29,1.43,20.0,35.0,54.74,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Condesa,alta demanda,MXCDMX-002,"Av. Tamaulipas 150, Condesa, CDMX",Big Mac,McDonald's,True,97.15,24.64,7.77,4.86,20.0,28.0,124.7,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Condesa,alta demanda,MXCDMX-002,"Av. Tamaulipas 150, Condesa, CDMX",Combo mediano,McDonald's,True,145.66,25.36,11.65,14.57,28.0,36.0,168.1,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Condesa,alta demanda,MXCDMX-002,"Av. Tamaulipas 150, Condesa, CDMX",Nuggets 10 piezas,McDonald's,True,114.47,35.64,9.16,5.72,41.0,49.0,153.55,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Condesa,alta demanda,MXCDMX-002,"Av. Tamaulipas 150, Condesa, CDMX",Coca-Cola 500ml,Retail benchmark,True,32.02,49.55,2.56,1.6,36.0,48.0,82.53,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Condesa,alta demanda,MXCDMX-002,"Av. Tamaulipas 150, Condesa, CDMX",Agua 1L,Retail benchmark,True,28.94,35.16,2.32,2.89,39.0,51.0,63.53,,reproducible_seed_dataset
